instrument,pip_size,stop_loss_pips,take_profit_pips,proximity_alert_pips,base_volume,profit_volume,DAILY_BIAS,levels_csv_file,trade_log_file
III.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
ADM.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
AAL.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
ANTO.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
AHT.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
ABF.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
AML.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
AZN.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
AV.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
BA.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
